10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200
5,15,25,35,45,55,65,75,85,95,105,115,125,135,145,155,165,175,185,195
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
=SUM(A1:E1),=AVERAGE(A1:E1),=MIN(A1:E1),=MAX(A1:E1),=COUNT(A1:E1),=SUM(A2:E3),=AVERAGE(A2:E3),=MIN(A2:E3),=MAX(A2:E3),=COUNT(A2:E3),=SUM(A1:J3),=AVERAGE(A1:J3),=MIN(A1:J3),=MAX(A1:J3),=COUNT(A1:J3),,,,
=A1+B1,=D1-C1,=A2*B2,=D2/A2,=(A1+B1)*2,=(A1+B1)/(C1-D3),=A1^2,=-A1,=+B1,=A1%,=SUM(A1:A3)+SUM(B1:B3),=AVERAGE(A1:C3)*2,=MIN(A1:C3)+5,=MAX(A1:C3)-5,=COUNT(A1:C3)*10,,,,,
=A4+B4,=SUM(A4:E4),=AVERAGE(A4:E4),=MIN(A4:E4),=MAX(A4:E4),=COUNT(A4:E4),=SUM(A5:J5),=AVERAGE(A5:J5),=MIN(A5:J5),=MAX(A5:J5),=COUNT(A5:J5),=SUM(A1:A5),=AVERAGE(B1:B5),=MIN(C1:C5),=MAX(D1:D5),,,,,,
100,,Hello,,3.14,,World,,42,,Spreadsheet,,Test,,,,,,,
=COUNT(A7:T7),=SUM(A1:A3)+SUM(A2:A3),=AVERAGE(A1:A3)+AVERAGE(B1:B3),=SUM(A1:E1)/COUNT(A1:E1),=(SUM(A1:A3)+MAX(A1:A3))/MIN(A1:A3),=((A1+B1)*C1)/D1,=((SUM(A1:A3))),=-SUM(A1:A3),=SUM(A1:A3)%,=AVERAGE(A1:E1)^2,,,,,,,,,,
=SUM(A1:T3),=AVERAGE(A1:T3),=MIN(A1:T3),=MAX(A1:T3),=COUNT(A1:T3),=SUM(A4:O6),=AVERAGE(A4:O6),=SUM(A8:J8),=A8+B8+C8,=(A5+B5+C5)/3,=SUM(A1:A9),=AVERAGE(B1:B9),=MIN(C1:C9),=MAX(D1:D9),=COUNT(A1:T9),,,,,,
=SUM(A9:O9),=AVERAGE(A9:O9),=MIN(A9:O9),=MAX(A9:O9),=COUNT(A9:O9),=SUM(A10:E10),=AVERAGE(A10:E10),=A10+B10,=(A10+B10)*2,=((A10+B10)/2),=SUM(A1:T10),=AVERAGE(A1:T10),=MIN(A1:T10),=MAX(A1:T10),=COUNT(A1:T10),,,,,
